,ID,Timestamp,Message Length,Punctuation Count,Has Attachments
275,857845038360559646,2021-06-25 04:49:55.135000+00:00,15,0,0
276,857811727508439061,2021-06-25 02:37:33.209000+00:00,15,0,0
277,857479213770604574,2021-06-24 04:36:15.756000+00:00,26,1,0
278,857310951454801981,2021-06-23 17:27:38.894000+00:00,27,0,0
279,857310921163931648,2021-06-23 17:27:31.672000+00:00,16,0,0
280,857310907390623805,2021-06-23 17:27:28.388000+00:00,4,0,0
281,857308663567482910,2021-06-23 17:18:33.419000+00:00,15,0,0
282,857308633073975366,2021-06-23 17:18:26.149000+00:00,4,0,0
283,856755511747149854,2021-06-22 04:40:31.748000+00:00,8,0,0
284,856755495528693761,2021-06-22 04:40:27.881000+00:00,6,0,0
285,856033207983276042,2021-06-20 04:50:21.111000+00:00,5,0,0
286,856033200215687208,2021-06-20 04:50:19.259000+00:00,6,0,0
287,855666457093996604,2021-06-19 04:33:00.885000+00:00,20,1,0
288,855666413049479169,2021-06-19 04:32:50.384000+00:00,26,0,0
289,855618064255156224,2021-06-19 01:20:43.133000+00:00,4,0,0
290,855618054590955540,2021-06-19 01:20:40.829000+00:00,7,0,0
291,855617992637153300,2021-06-19 01:20:26.058000+00:00,15,0,0
292,855617910092726292,2021-06-19 01:20:06.378000+00:00,4,0,0
293,854497944765857803,2021-06-15 23:09:45.836000+00:00,31,0,0
294,854497925061541908,2021-06-15 23:09:41.138000+00:00,4,0,0
295,854458477295304707,2021-06-15 20:32:56.058000+00:00,7,0,0
296,854419797873000479,2021-06-15 17:59:14.165000+00:00,5,1,0
297,854411794915131412,2021-06-15 17:27:26.111000+00:00,10,1,0
298,854403764898496512,2021-06-15 16:55:31.606000+00:00,25,1,0
299,853649557488533504,2021-06-13 14:58:34.547000+00:00,4,0,0
300,853360512871301150,2021-06-12 19:50:00.940000+00:00,17,0,0
301,853360478640930857,2021-06-12 19:49:52.779000+00:00,6,0,0
302,853360470744367144,2021-06-12 19:49:50.896000+00:00,4,0,0
303,852434759077462016,2021-06-10 06:31:24.036000+00:00,32,0,0
304,852298587802173470,2021-06-09 21:30:18.274000+00:00,63,3,0
305,852037352083423287,2021-06-09 04:12:14.825000+00:00,20,0,0
306,852037328235266098,2021-06-09 04:12:09.139000+00:00,4,0,0
307,852025380856266752,2021-06-09 03:24:40.662000+00:00,9,0,0
308,852025363507970078,2021-06-09 03:24:36.526000+00:00,31,1,0
309,851648227236904991,2021-06-08 02:26:00.232000+00:00,21,0,0
310,851648181178466305,2021-06-08 02:25:49.251000+00:00,4,0,0
311,851572495672934440,2021-06-07 21:25:04.420000+00:00,22,0,0
312,850803042985967676,2021-06-05 18:27:32.604000+00:00,3,0,0
313,850652820579024917,2021-06-05 08:30:36.791000+00:00,5,0,0
314,850606187287281684,2021-06-05 05:25:18.548000+00:00,71,3,0
315,850044423349338113,2021-06-03 16:13:03.588000+00:00,3,0,0
316,849909687512072222,2021-06-03 07:17:40.061000+00:00,3,0,1
317,849909632200605716,2021-06-03 07:17:26.874000+00:00,4,0,0
318,849754354907217930,2021-06-02 21:00:25.882000+00:00,7,0,0
319,849754211277078528,2021-06-02 20:59:51.638000+00:00,64,1,0
320,849754133124743178,2021-06-02 20:59:33.005000+00:00,63,1,0
321,849754103978262528,2021-06-02 20:59:26.056000+00:00,62,1,0
322,849754059622580244,2021-06-02 20:59:15.481000+00:00,71,1,0
323,849753989267456110,2021-06-02 20:58:58.707000+00:00,75,1,0
324,849741202173198406,2021-06-02 20:08:10.026000+00:00,3,0,1
325,849740740460412944,2021-06-02 20:06:19.945000+00:00,3,0,1
326,849740536075911178,2021-06-02 20:05:31.216000+00:00,3,0,1
327,849740233842753587,2021-06-02 20:04:19.158000+00:00,3,0,1
328,849739973841780787,2021-06-02 20:03:17.169000+00:00,3,0,1
329,849739852614598657,2021-06-02 20:02:48.266000+00:00,3,0,1
330,849739713220444190,2021-06-02 20:02:15.032000+00:00,3,0,1
331,849739399049904158,2021-06-02 20:01:00.128000+00:00,4,0,0
332,849739305181773834,2021-06-02 20:00:37.748000+00:00,3,0,1
333,849738434008449096,2021-06-02 19:57:10.044000+00:00,3,0,1
334,849738252159025212,2021-06-02 19:56:26.688000+00:00,3,0,1
335,849462404177068109,2021-06-02 01:40:19.404000+00:00,5,0,0
336,848788484197580811,2021-05-31 05:02:24.360000+00:00,1,0,0
337,848788437846327297,2021-05-31 05:02:13.309000+00:00,1,0,0
338,848788306589777960,2021-05-31 05:01:42.015000+00:00,88,3,0
339,848788226172518401,2021-05-31 05:01:22.842000+00:00,1,0,0
340,848788060832268348,2021-05-31 05:00:43.422000+00:00,1,0,0
341,848788007062208532,2021-05-31 05:00:30.602000+00:00,1,0,0
342,848787925633073192,2021-05-31 05:00:11.188000+00:00,1,0,0
